Frequency,Time,Event
1,1430,HAPC
1,1440,Check
2,350,HAPC
2,360,Check
2,1430,HAPC
2,1440,Check
3,350,HAPC
3,360,Check
3,1420,HAPC
3,1430,HAPC
3,1440,Check
4,350,HAPC
4,360,Check
4,1410,HAPC
4,1420,HAPC
4,1430,HAPC
4,1440,Check
5,340,HAPC
5,350,HAPC
5,360,Check
5,1410,HAPC
5,1420,HAPC
5,1430,HAPC
5,1440,Check
6,340,HAPC
6,350,HAPC
6,360,Check
6,770,HAPC
6,780,Check
6,1410,HAPC
6,1420,HAPC
6,1430,HAPC
6,1440,Check
7,170,HAPC
7,180,Check
7,340,HAPC
7,350,HAPC
7,360,Check
7,770,HAPC
7,780,Check
7,1410,HAPC
7,1420,HAPC
7,1430,HAPC
7,1440,Check
8,160,HAPC
8,170,HAPC
8,180,Check
8,340,HAPC
8,350,HAPC
8,360,Check
8,770,HAPC
8,780,Check
8,1410,HAPC
8,1420,HAPC
8,1430,HAPC
8,1440,Check
9,160,HAPC
9,170,HAPC
9,180,Check
9,340,HAPC
9,350,HAPC
9,360,Check
9,530,HAPC
9,540,Check
9,770,HAPC
9,780,Check
9,1410,HAPC
9,1420,HAPC
9,1430,HAPC
9,1440,Check
10,160,HAPC
10,170,HAPC
10,180,Check
10,340,HAPC
10,350,HAPC
10,360,Check
10,520,HAPC
10,530,HAPC
10,540,Check
10,770,HAPC
10,780,Check
10,1410,HAPC
10,1420,HAPC
10,1430,HAPC
10,1440,Check
11,160,HAPC
11,170,HAPC
11,180,Check
11,340,HAPC
11,350,HAPC
11,360,Check
11,520,HAPC
11,530,HAPC
11,540,Check
11,760,HAPC
11,770,HAPC
11,780,Check
11,1410,HAPC
11,1420,HAPC
11,1430,HAPC
11,1440,Check
12,110,HAPC
12,120,Check
12,220,HAPC
12,230,HAPC
12,240,Check
12,340,HAPC
12,350,HAPC
12,360,Check
12,520,HAPC
12,530,HAPC
12,540,Check
12,760,HAPC
12,770,HAPC
12,780,Check
12,1410,HAPC
12,1420,HAPC
12,1430,HAPC
12,1440,Check
13,110,HAPC
13,120,Check
13,220,HAPC
13,230,HAPC
13,240,Check
13,340,HAPC
13,350,HAPC
13,360,Check
13,520,HAPC
13,530,HAPC
13,540,Check
13,760,HAPC
13,770,HAPC
13,780,Check
13,1400,HAPC
13,1410,HAPC
13,1420,HAPC
13,1430,HAPC
13,1440,Check
14,100,HAPC
14,110,HAPC
14,120,Check
14,220,HAPC
14,230,HAPC
14,240,Check
14,340,HAPC
14,350,HAPC
14,360,Check
14,520,HAPC
14,530,HAPC
14,540,Check
14,760,HAPC
14,770,HAPC
14,780,Check
14,1400,HAPC
14,1410,HAPC
14,1420,HAPC
14,1430,HAPC
14,1440,Check
15,100,HAPC
15,110,HAPC
15,120,Check
15,220,HAPC
15,230,HAPC
15,240,Check
15,330,HAPC
15,340,HAPC
15,350,HAPC
15,360,Check
15,520,HAPC
15,530,HAPC
15,540,Check
15,760,HAPC
15,770,HAPC
15,780,Check
15,1400,HAPC
15,1410,HAPC
15,1420,HAPC
15,1430,HAPC
15,1440,Check
